term,.y.,group1,group2,df,statistic,p,p.adj,p.adj.signif,part
New_tr_g,log(Value_part),Producers,Primary,50,0.542241478413697,0.590060835453609,0.590060835453609,ns,CV_C_R
New_tr_g,log(Value_part),Producers,Secondary,50,2.63196169788457,0.0112608215298943,0.0337824645896829,*,CV_C_R
New_tr_g,log(Value_part),Producers,Tertiary,50,3.68555953066046,0.00056155709029331,0.00280778545146655,**,CV_C_R
New_tr_g,log(Value_part),Primary,Secondary,50,3.06382573971199,0.00351596364042695,0.0140638545617078,*,CV_C_R
New_tr_g,log(Value_part),Primary,Tertiary,50,4.52256350971088,3.77588324907075e-05,0.000226552994944245,***,CV_C_R
New_tr_g,log(Value_part),Secondary,Tertiary,50,1.63812188537929,0.10767497776669,0.21534995553338,ns,CV_C_R
New_tr_g,log(Value_part),Producers,Primary,50,1.14717561023123,0.256768874554803,0.256768874554803,ns,CV_C_L
New_tr_g,log(Value_part),Producers,Secondary,50,2.27728548247615,0.0270807976594315,0.108323190637726,ns,CV_C_L
New_tr_g,log(Value_part),Producers,Tertiary,50,3.66888589754319,0.000591138251543034,0.0035468295092582,**,CV_C_L
New_tr_g,log(Value_part),Primary,Secondary,50,1.63994501876202,0.107293908818211,0.214587817636422,ns,CV_C_L
New_tr_g,log(Value_part),Primary,Tertiary,50,3.63622842790048,0.000653461279544892,0.0035468295092582,**,CV_C_L
New_tr_g,log(Value_part),Secondary,Tertiary,50,2.1263542571997,0.0384332672601183,0.115299801780355,ns,CV_C_L
New_tr_g,log(Value_part),Producers,Primary,50,2.82297748202072,0.00681237995370745,0.0118930583320821,*,CV_S_L
New_tr_g,log(Value_part),Producers,Secondary,50,4.81403984713375,1.408114657e-05,5.632458628e-05,****,CV_S_L
New_tr_g,log(Value_part),Producers,Tertiary,50,7.09994988863811,4.18680256071465e-09,2.51208153642879e-08,****,CV_S_L
New_tr_g,log(Value_part),Primary,Secondary,50,2.87338379065437,0.00594652916604107,0.0118930583320821,*,CV_S_L
New_tr_g,log(Value_part),Primary,Tertiary,50,6.1771489857263,1.16033439190309e-07,5.80167195951543e-07,****,CV_S_L
New_tr_g,log(Value_part),Secondary,Tertiary,50,3.52623089401874,0.000913007730084417,0.00273902319025325,**,CV_S_L
